0,1,2,3,4,5,6,7
-0.8960418897725922,0.7807321043966328,-1.4267515672137063,-0.5684747832140795,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.822787866745704,0.11958396669455443,-1.0694735766270285,-0.5062861817652331,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.6762798206919277,0.4247292610185911,-0.4263731935710082,-1.1903607977025437,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.3355660279339228,1.0858773987206694,-0.5692843898056794,-0.941606391907158,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.8594148782591489,1.7470255364227476,-0.7836511841576861,-0.6928519861117723,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.932668901286037,0.3230141629105795,-1.4267515672137063,-0.7239462868361956,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.87772838401587,1.2384500458826877,-0.4263731935710082,0.5820143435895789,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.52977177463815,0.22129906480256786,-1.3552959690963706,-1.25254939915139,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.9876094185562029,2.0521708307467827,-0.7121955860403505,-0.5062861817652331,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.7201496488250874,2.0013132816927777,-0.21200639921900147,0.23997703562092373,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.353879533690645,0.3230141629105795,-1.140929174744364,-0.6306633846629259,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.9692959127994805,0.9333047515586511,-0.4263731935710082,-0.941606391907158,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.27338269404404064,1.7978830854767527,-0.28346199733633703,0.36435423851861654,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.7567766603385322,0.6281594572346144,-1.2123847728616997,-1.097077895529274,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
0.3675900074412334,2.204743477908801,-0.49782879168834376,-0.008777370174461903,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.1341174646099805,0.5773019081806094,-1.9269407540350554,-1.0037949933560044,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.1524309703667017,0.7807321043966328,-1.4982071653310418,-0.7550405875606188,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.4820740739877005,1.0350198496666627,-0.8551067822750217,-0.5062861817652331,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.060863441583091,0.47558681007259784,-1.140929174744364,-0.3197203774186939,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.9509824070427594,0.017868868586542803,-1.4982071653310418,-0.5062861817652331,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.5919551085280335,0.8824472025046444,-0.9980179785096929,-0.5062861817652331,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.6213393034217606,0.7298745553426278,-1.2838403709790351,-0.8172291890094652,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.6396528091784829,0.3738717119645844,-0.9980179785096929,-1.25254939915139,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.1158039588532582,0.7298745553426278,-2.0698519502697263,-1.3147380006002365,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.6396528091784829,0.8824472025046444,-1.4982071653310418,-0.3197203774186939,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.822787866745704,-0.23641887668348716,-1.641118361565713,-1.1903607977025437,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-1.2439984991503121,0.47558681007259784,-1.641118361565713,-0.3819089788675403,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.822787866745704,0.3230141629105795,-0.9265623803923573,-1.1281721962536972,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.5663987861515947,0.8824472025046444,-1.2123847728616997,-0.3819089788675403,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-1.39050654520409,-0.08384622952146882,-0.4263731935710082,-1.097077895529274,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.87772838401587,2.0013132816927777,-0.35491759545367263,-0.07096597162330831,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.9509824070427594,1.441880242098711,-0.7836511841576861,-0.3197203774186939,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.32832321131420644,0.679017006288621,-1.4982071653310418,-0.8172291890094652,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-1.170744476123424,1.0858773987206694,-1.4267515672137063,-1.1281721962536972,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.7678473494755382,0.9841623006126577,-1.2123847728616997,0.5509200428651557,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-1.3721930394473676,0.4247292610185911,-1.3552959690963706,-1.3147380006002365,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.5847122919083171,0.6281594572346144,-0.4263731935710082,-0.3819089788675403,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-1.463760568230978,0.679017006288621,-1.0694735766270285,-1.376926602049083,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
0.01963339806351347,1.2893075949366926,-0.35491759545367263,0.23997703562092373,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-1.280625510663757,-0.13470377857547555,-1.140929174744364,-1.5013038049467757,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.8044743609889817,0.8315896534506394,-0.7836511841576861,0.48873144141630936,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.52977177463815,0.9333047515586511,-1.3552959690963706,-0.9727006926315812,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-1.463760568230978,0.3738717119645844,-0.7836511841576861,-0.941606391907158,-1.009049958219026,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.31000970555748536,2.0521708307467827,-0.7121955860403505,-0.07096597162330831,0.991031208965115,-0.9791953479320481,1.3066434376564753,-0.40538335478367193
-0.8044743609889817,0.27215661385657275,-1.0694735766270285,-0.8794177904583116,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.7129068322053711,0.8824472025046444,-0.9265623803923573,0.1155998327232309,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.6468956257981993,0.3738717119645844,-0.7836511841576861,-0.941606391907158,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.3649502228276512,1.187592496828681,-0.06909520298433032,-0.1953431745210011,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.7384631545818099,0.47558681007259784,-0.9980179785096929,-1.6256810078444686,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.47483125736798415,0.7298745553426278,-0.7121955860403505,-0.6306633846629259,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.9143553955293147,0.17044151574856115,-1.0694735766270285,-0.8172291890094652,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.6213393034217606,0.8315896534506394,-0.5692843898056794,-0.5062861817652331,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.3721930394473676,-0.28727642573749207,-1.4267515672137063,-1.687869609293315,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.170744476123424,0.9841623006126577,-0.49782879168834376,-0.5684747832140795,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.5187010855011438,-0.13470377857547555,-1.140929174744364,-1.3147380006002365,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.4931447631247065,2.0013132816927777,-0.4263731935710082,0.23997703562092373,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.170744476123424,-0.08384622952146882,-1.140929174744364,-0.7550405875606188,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.52977177463815,0.5264443591266027,-0.6407399879230149,-0.1953431745210011,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.39050654520409,-0.03298868046746211,-1.2123847728616997,-1.687869609293315,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.4382042458545394,0.4247292610185911,-0.6407399879230149,-0.3197203774186939,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.5553280970145886,-0.49070662195351716,-0.4263731935710082,-1.0659835948048508,-1.009049958219026,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-0.52977177463815,0.9841623006126577,-0.9265623803923573,-0.13315457307215472,0.991031208965115,1.0212466818923203,-0.7653197277702213,-0.40538335478367193
-1.4820740739877005,-0.28727642573749207,-0.7836511841576861,-1.4391152034979293,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.40157723434109593,1.1367349477746742,-0.21200639921900147,0.3021656370697701,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.921598212149031,0.9333047515586511,-0.7836511841576861,-0.7550405875606188,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.7861608552322593,0.6281594572346144,-0.7836511841576861,-0.3819089788675403,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.8044743609889817,0.017868868586542803,-0.35491759545367263,-0.8172291890094652,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
0.33096299592778866,0.8824472025046444,-0.28346199733633703,-0.07096597162330831,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.5553280970145886,0.17044151574856115,-0.7836511841576861,-0.6306633846629259,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.2184421767738748,0.679017006288621,-0.4263731935710082,0.053411231274384505,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.5663987861515947,-0.18556132762948047,-0.7121955860403505,-0.6306633846629259,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.2439984991503121,1.1367349477746742,-1.2123847728616997,-0.3819089788675403,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.4271335567175334,-0.5415641710075221,-0.9980179785096929,-0.8172291890094652,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.3466367170709288,0.9841623006126577,-0.4263731935710082,-0.25753177596984755,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.7201496488250874,0.017868868586542803,-0.8551067822750217,-1.25254939915139,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-0.20012867101715243,0.22129906480256786,-0.35491759545367263,0.6131086443140021,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.3355660279339228,0.8315896534506394,-0.9980179785096929,-0.5062861817652331,-1.009049958219026,-0.9791953479320481,-0.7653197277702213,2.46680083974745
-1.628582120041477,1.1367349477746742,-0.5692843898056794,-0.008777370174461903,0.991031208965115,-0.9791953479320481,-0.7653197277702213,2.46680083974745
